Metabolite	109530_2	109527_3	109530_4	109530_3	109530_5	109528_2	101304_2	109530_1	101304_1	109527_2
116.1073_1.41	192	224	198	206	200	197	209	186	199	184
271.1665_1.41	553	645	543	609	628	648	728	639	678	651
344.2099_1.41	128	359	4022	1535	61	1176	29	161	13	943
386.2721_1.41	1745	2404	5278	3956	1568	2191	1504	1552	1203	1855
494.4418_1.41	64	78	156	261	1687	88	81	22	351	281
198.124_1.42	1526	1349	1313	1372	1329	1407	1369	1497	1440	1497
88.0757_1.43	141	146	129	141	140	134	127	137	145	146
149.0711_1.43	403	389	322	367	339	400	435	448	463	488
151.1231_1.43	11058	10873	10345	10630	10515	10830	10716	11110	11000	10957
196.0913_1.43	4814	4672	4401	4449	4480	4880	4653	4927	5023	4866
216.0937_1.43	42	34	39	41	33	27	19	27	26	37
217.1071_1.43	2476	1828	1792	1821	2106	2192	2342	2627	2605	2766
224.9889_1.44	737	753	700	705	643	732	680	721	728	745
296.0455_1.44	26595	30527	27980	32295	25591	29787	28597	27837	30051	26221
417.3144_1.44	8999	9673	13313	12389	6744	6838	7689	6941	6696	6149
424.3632_1.44	120	297	836	236	4874	185	257	204	231	251
431.3302_1.44	1869	2549	2924	2954	1425	1368	1277	1324	932	1034
452.3946_1.44	641	1310	3568	1264	23540	814	1372	746	928	933
504.3205_1.44	138	228	934	194	7908	110	373	48	81	148
576.4658_1.44	2299	2504	1915	2590	2380	2513	2347	2201	2433	2351
80.0495_1.45	2556	2394	2288	2308	2513	2583	2481	2619	2553	2638
88.0757_1.45	151	163	146	155	163	185	167	170	195	182
135.0667_1.45	1299	1203	1123	1093	1264	1196	1215	1264	1311	1286
168.1133_1.45	1365	1346	1321	1335	1333	1351	1307	1361	1389	1392
403.2987_1.45	4498	6768	9177	8265	3804	4016	4086	4069	3245	2990
98.0965_1.46	44	47	50	47	49	56	52	53	53	61
114.0917_1.46	19345	18378	17638	17566	18677	18997	19030	19937	20498	20850
137.1075_1.46	9112	8871	8464	8561	8746	8910	8695	9067	9272	9123
165.1137_1.46	4271	4263	4178	4177	4297	4380	4336	4503	4453	4548
207.1243_1.46	7126	6963	6565	6411	6962	7531	7334	7747	7894	8060
250.9879_1.46	6212	6290	6202	6075	6247	6342	6317	6663	6722	6915
124.0873_1.47	1024316	998925	950940	958498	983634	1006911	999647	1039303	1044683	1061649
125.0713_1.47	58758	56832	52378	54987	53854	57586	56072	59642	60403	59958
130.0614_1.47	1494	1390	1365	1337	1419	1465	1391	1529	1539	1495
140.1071_1.47	9023	8930	8637	8580	8528	8817	8537	8744	8900	8941
144.102_1.47	714	700	636	633	751	703	723	736	775	817
153.066_1.47	829	800	705	711	728	816	781	915	910	965
155.0816_1.47	5480	5060	4769	4878	5152	5394	5277	5686	5871	6095
166.0977_1.47	158896	155107	145490	148677	155157	159897	157565	166515	168166	169698
187.0967_1.47	586	525	497	514	561	545	535	590	626	602
194.1542_1.47	14133	13844	13882	13985	14813	15745	15078	15873	16460	17724
195.0879_1.47	98518	96525	91242	92384	96030	97064	96465	100047	100775	102325
198.124_1.47	613	607	568	629	632	663	631	567	679	656
228.1959_1.47	3030	2885	2482	2709	2690	2915	2738	2839	3075	2979
346.222_1.47	520	522	496	566	487	496	518	536	495	486
389.283_1.47	1614	1631	2162	2072	1245	1234	1495	1523	1310	1184
444.4048_1.49	1267	809	952	1597	1009	1093	1035	1454	939	1141
83.0604_1.5	122	125	115	119	116	117	130	130	123	126
125.0906_1.5	113984	111709	104762	106491	108392	110969	110031	114819	114863	116499
224.991_1.51	2	6	2	6	3	4	5	3	3	4
399.3468_1.51	1411	1280	1356	1296	1385	1357	1481	1615	1751	1492
86.0965_1.52	58	52	46	47	59	58	60	68	65	70
99.0805_1.52	104	104	95	102	90	107	106	120	108	109
