"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000177575",-2.89536947304158,5.98978411674877,-14.382268390227,6.63153433069413e-22,2.66600943162565e-17,39.0733796409266
"ENSG00000137642",-1.56791090176031,9.24169275910907,-13.7328738154122,6.46051903370196e-21,1.29862893096443e-16,35.0612956713306
"ENSG00000203710",-2.02847761630832,6.39938796084655,-11.8453953511626,6.54906107273963e-18,8.77617844154262e-14,29.466563674237
"ENSG00000257335",-1.70179116365322,7.60522062626931,-10.9821083043756,1.79581338104162e-16,1.80488223861588e-12,25.4872527928021
"ENSG00000132205",-1.7226227247075,6.99358103576409,-10.0995045587393,5.77314224195515e-15,3.86819774018469e-11,23.1121112362777
"ENSG00000038427",-1.74064878091433,7.89213772649804,-9.73727358603884,2.45188764900425e-14,1.40815410378956e-10,21.0784951731688
"ENSG00000127507",-1.81437967761589,7.58797630113352,-9.01810090843303,4.46744743441607e-13,2.24500402197993e-09,18.6668522252604
"ENSG00000162551",-1.52215803376735,9.2133700613785,-8.82208244108324,9.91310711605496e-13,4.11108620787888e-09,15.8181334162058
"ENSG00000100985",-2.62644939120427,9.02727519466899,-8.81444849563609,1.0226073846771e-12,4.11108620787888e-09,14.520624348574
"ENSG00000249437",-2.2931747847524,4.75369174196412,-8.73161980276955,1.43303447340389e-12,5.23735017270755e-09,18.0380510042166
"ENSG00000250138",-2.74349413061964,5.14566883509253,-8.20606316798488,1.22725457998255e-11,3.59529891545594e-08,16.0149518299007
"ENSG00000198363",-1.8840739785357,3.99033391576178,-8.20118131528296,1.25203185951901e-11,3.59529891545594e-08,16.0973459271867
"ENSG00000138061",-2.40327024443911,4.47379627364652,-8.11198040812582,1.80411669307321e-11,4.8352732863286e-08,15.4009804256455
"ENSG00000134755",-2.50760392221688,3.41706388179564,-7.6303486868672,1.29829648188813e-10,3.26213219780417e-07,13.9353112159148
"ENSG00000134243",-1.83310744895634,5.98161725030001,-7.47811132028048,2.42188158860769e-10,5.7273225661886e-07,12.6648007196623
"ENSG00000100697",-1.56550649594551,5.66156572969957,-7.22187904352874,6.90699189367571e-10,1.54263826727528e-06,12.07225212458
"ENSG00000109861",-1.85792010458163,7.03063218767799,-7.19494035473047,7.71039377186102e-10,1.63143816008609e-06,11.9405205081113
"ENSG00000125810",-1.53460926233869,7.56303136796902,-7.0985411975459,1.14277317325175e-09,2.29708835555335e-06,11.0707188353957
"ENSG00000108582",-1.63693826165801,6.23569498569046,-6.86897225426063,2.91058762775341e-09,5.57197351480678e-06,10.2540348550867
"ENSG00000117281",6.12843790697338,2.48295075803358,6.73774721384121,4.95847885760288e-09,9.06094395606141e-06,9.43326267268716
"ENSG00000123384",-1.88396898062109,7.12782137919717,-6.65459777257438,6.94433954639635e-09,1.21381016714881e-05,9.63000584168242
"ENSG00000137801",-3.1261866110023,4.24441018785471,-6.53846409394333,1.11038469902799e-08,1.85998690293014e-05,9.573999502566
"ENSG00000204936",-1.87021022243268,4.7649396389764,-6.46974304733032,1.46492399796855e-08,2.26511056024352e-05,6.04986918745862
"ENSG00000237181",-3.01757483783196,2.03936905152845,-6.33349525548563,2.53353771529549e-08,3.63761725822534e-05,8.46916024231101
"ENSG00000135919",6.4171419913591,-0.270410010558824,6.29485332891726,2.95819303909794e-08,3.98374096927714e-05,8.02271546565903
"ENSG00000164120",-3.06774191344228,1.44764047747841,-6.29362485676758,2.9727931216933e-08,3.98374096927714e-05,8.66096858430003
"ENSG00000112303",-1.53600073769075,8.98162512748334,-6.2129753590342,4.1053448299097e-08,5.32397009200097e-05,6.59884258901747
"ENSG00000234645",4.1854197135914,-3.17773040153185,6.18322765064743,4.62339922339187e-08,5.80843423683749e-05,7.2872625788896
"ENSG00000102837",-3.60742924126086,1.70221736044027,-6.16778011296184,4.91746848176037e-08,5.99066872435547e-05,7.88797561856181
"ENSG00000118518",-1.53104648924206,4.58733811205399,-6.11978040817331,5.9547158673332e-08,7.04092609701557e-05,8.04548002769999
"ENSG00000211797",5.18206700217005,0.921094623371514,6.08670054303756,6.79296888914014e-08,7.58585931336699e-05,7.11074118311822
"ENSG00000146122",-4.00560593105942,1.89647310949618,-5.95472817048986,1.14690969253414e-07,0.000121337009103309,7.32538313149426
"ENSG00000069020",-2.46300491009807,2.83511811579609,-5.94518652750882,1.19104600264646e-07,0.000122775465124084,7.43919868597755
"ENSG00000183873",-6.86756542915495,-4.07727351548694,-5.88107584703538,1.53442113531497e-07,0.000154216996204831,6.16574026286042
