"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000279656",-5.94422309779442,-1.62427198283627,-12.9530818383937,1.06761970180161e-19,4.29204472518284e-15,32.5593421682067
"ENSG00000189043",2.50403812412767,3.38281485473082,8.3748486105397,6.15123282204572e-12,8.85957666237813e-08,16.9389356448993
"ENSG00000132465",2.94021858387571,5.60000499692367,8.30489605095324,8.18927363308401e-12,8.85957666237813e-08,16.1532758158614
"ENSG00000120675",1.68044818869739,3.165290675215,8.28690156755109,8.81506060631623e-12,8.85957666237813e-08,16.5584394653051
"ENSG00000211663",3.44087744731854,4.17980918530391,8.04172640610869,2.4057792920942e-11,1.93434278201542e-07,15.3198654954411
"ENSG00000233913",2.02381694798071,4.21419963251287,7.09164818394837,1.17536067174652e-09,5.9064812156942e-06,11.7778958954212
"ENSG00000118985",1.64617687043808,3.54212236661676,6.76204239385872,4.49322059739272e-09,1.75269077576811e-05,10.5741568280102
"ENSG00000115514",1.76428719462429,2.21981937756606,6.74598014599588,4.7956814420798e-09,1.75269077576811e-05,10.4299125624955
"ENSG00000131469",1.68186776171059,7.07832000833157,6.70923950748087,5.56584357966665e-09,1.86465036324799e-05,9.61121103308726
"ENSG00000072571",5.06613614556156,-1.79796523485055,6.53351094167101,1.13280321357622e-08,3.50315036863011e-05,8.96459496520449
"ENSG00000225972",3.90055925658409,2.8758862255697,6.3504038775154,2.36730287494076e-08,5.09154500045995e-05,8.90318062103757
"ENSG00000242766",5.25200160610409,-3.27439523363398,6.34445909159691,2.42447640212454e-08,5.09154500045995e-05,8.1966808382839
"ENSG00000171848",2.37473318489756,3.27205308479551,6.33700729801509,2.49808240218787e-08,5.09154500045995e-05,8.85732113313755
"ENSG00000230076",2.45123468345566,2.05039017384489,6.33490708546612,2.5192251643928e-08,5.09154500045995e-05,8.92771231108835
"ENSG00000114209",2.12918705696842,3.22283210562601,6.33355002860268,2.5329809464504e-08,5.09154500045995e-05,8.92629211465989
"ENSG00000144395",4.98231249207548,-4.08373433755022,6.25410059477421,3.48266944501618e-08,6.45978753272617e-05,7.27607622835569
"ENSG00000263503",-5.17494258274119,-3.86138257513361,-6.25037192066817,3.53503123526132e-08,6.45978753272617e-05,8.48376673267484
"ENSG00000048462",3.70397179980245,0.182588772398516,6.23823726952428,3.71090283452461e-08,6.48633546754601e-05,8.52472210488653
"ENSG00000224607",5.16831175815964,-3.4338445796398,6.17159321205841,4.84320065927942e-08,8.11276470434797e-05,7.64132070196097
"ENSG00000136982",5.53249970054802,-4.01159293371418,6.15193934243507,5.23827551002485e-08,8.35567388523854e-05,7.23316995233088
"ENSG00000085274",1.51066483196589,2.69040238533919,6.14413371831984,5.40389833879414e-08,8.35567388523854e-05,8.19758903826416
"ENSG00000137267",4.62457985828603,1.88102297598418,6.04272626594791,8.090688150664e-08,0.000116164944654641,7.82284402616146
"ENSG00000132464",5.45362190192071,-4.54803181827109,5.95316722934749,1.15401770746841e-07,0.000140705766049854,6.52540079586459
"ENSG00000259479",4.02482618031958,-0.894342789733536,5.94541079923029,1.18998956412492e-07,0.000140705766049854,7.08101288251539
"ENSG00000101057",2.04758011659173,4.08085161331926,5.90137848125445,1.41624144117456e-07,0.000162141823837876,7.00519648201731
"ENSG00000173598",1.56315980330692,4.26012896857582,5.89123168524857,1.47413419458374e-07,0.000162141823837876,7.13960129975261
"ENSG00000225690",5.82859558078196,-3.51415736144029,5.86572055377232,1.63023238931447e-07,0.00016460070112352,6.53229435786832
"ENSG00000276566",5.42149492961687,-2.49500871314387,5.86455585966767,1.63773644220208e-07,0.00016460070112352,6.77234246486732
"ENSG00000259781",1.70899183364913,1.39224564539051,5.81580548663068,1.98442200599347e-07,0.000193130706156815,6.91046985780561
"ENSG00000024526",5.22500180729966,-4.10537799412417,5.81158018329481,2.01768311491624e-07,0.000193130706156815,5.94434472272516
"ENSG00000100387",1.5661881948344,3.68947554767479,5.79372176113966,2.16445485589901e-07,0.000197762304811027,6.83481180865423
"ENSG00000086065",1.81358537036861,3.79398993145565,5.75163391739507,2.55339693697118e-07,0.00021385763262524,6.66713597250724
"ENSG00000134057",1.91279801312052,1.57610209415949,5.71455363954282,2.95276913643241e-07,0.000230465120234678,6.59165902897377
"ENSG00000216316",5.09775432358598,-4.63816877666345,5.71212394491188,2.98099255066994e-07,0.000230465120234678,5.59445518050411
"ENSG00000178694",1.50119610197935,2.86147141316611,5.69162727380836,3.22993109277149e-07,0.000235153503457589,6.51414942171921
"ENSG00000278745",5.67742492381048,-4.53035193588734,5.68789253235642,3.27745184044505e-07,0.000235153503457589,5.77033017970457
"ENSG00000188672",4.95408737088921,-1.85663804126357,5.68498012772425,3.31498759489884e-07,0.000235153503457589,6.12946717796837
"ENSG00000126860",2.40185016304578,3.24948416246225,5.66089703318196,3.64208389979716e-07,0.000246239253863808,6.35803952045827
"ENSG00000211653",2.21331685089101,4.5555974930682,5.65437188233742,3.73606376755635e-07,0.000246239253863808,5.8607960362619
"ENSG00000137876",2.64237251807018,2.3748283742442,5.65435702881585,3.73628040537593e-07,0.000246239253863808,6.37589671725414
"ENSG00000172172",3.62527076572158,0.386900112948445,5.62941768785031,4.11806856078004e-07,0.000267023535936257,6.13983194596742
"ENSG00000262500",-3.38250365241221,-4.831817002617,-5.61743905554078,4.31488558243222e-07,0.000275344492357048,6.13423044909565
"ENSG00000263266",3.34324940553182,0.0391801762160185,5.60486593056232,4.531454222349e-07,0.000281661448906847,5.98388914932243
"ENSG00000123131",1.52418428918486,3.16430037122285,5.58899191861165,4.82024851850195e-07,0.000289229299911665,6.08547621867739
"ENSG00000166200",1.7412649507525,3.03858853434605,5.53262384084171,6.0001690021888e-07,0.000334223019357769,5.9201690747591
"ENSG00000244575",2.47612290489218,2.33524328162727,5.53216677555617,6.01081504835904e-07,0.000334223019357769,5.81073028398994
"ENSG00000243466",1.71849575939597,5.55597078053992,5.52271478037902,6.23519388384476e-07,0.000334223019357769,5.18536491522411
"ENSG00000082515",1.55699100310853,2.01208512873802,5.50731358144747,6.61860894303477e-07,0.000346015219147681,5.8331610937961
"ENSG00000122644",2.28233072341639,1.93609816473647,5.4569724966874,8.04122214807643e-07,0.000378764012725989,5.65381728651673
"ENSG00000237954",1.72550780583556,-6.62149501584402,5.44402638121411,8.45332235961908e-07,0.000378764012725989,5.59659951355831
"ENSG00000228957",1.72550780583556,-6.62149501584402,5.44402638121411,8.45332235961908e-07,0.000378764012725989,5.59659951355831
"ENSG00000119913",1.72550780583556,-6.62149501584402,5.44402638121411,8.45332235961908e-07,0.000378764012725989,5.59659951355831
"ENSG00000256542",1.72550780583556,-6.62149501584402,5.44402638121411,8.45332235961908e-07,0.000378764012725989,5.59659951355831
"ENSG00000259116",1.72550780583556,-6.62149501584402,5.44402638121411,8.45332235961908e-07,0.000378764012725989,5.59659951355831
"ENSG00000263924",1.72550780583556,-6.62149501584402,5.44402638121411,8.45332235961908e-07,0.000378764012725989,5.59659951355831
"ENSG00000267215",1.72550780583556,-6.58879180323997,5.44402638121411,8.45332235961908e-07,0.000378764012725989,5.59659951355831
"ENSG00000089685",2.31910020550439,1.57891731536258,5.42375183642941,9.1408495987227e-07,0.000391733752613205,5.53437831719927
"ENSG00000271687",-2.63919456557758,-4.52150936066451,-5.42287117525238,9.17192974347551e-07,0.000391733752613205,5.46123006164248
"ENSG00000164919",1.70228514762124,3.04033033728611,5.41824264713543,9.33699743468824e-07,0.000391733752613205,5.48993904470738
"ENSG00000279244",1.78835604763264,-6.61810053556932,5.3801791107812,1.08101294125344e-06,0.000434588822642709,5.35918906052557
"ENSG00000228239",1.78835604763264,-6.61810053556932,5.3801791107812,1.08101294125344e-06,0.000434588822642709,5.35918906052557
"ENSG00000170180",5.78638995086234,-3.33450482887794,5.37731556062746,1.09297805367632e-06,0.000435048551622726,4.96645818113292
"ENSG00000145088",3.62293725409522,0.128289894112502,5.32857685828456,1.31779925037891e-06,0.000493292599781946,5.01821494887735
"ENSG00000231367",1.83922526121292,-6.61519277673175,5.32232646437589,1.34973847012621e-06,0.000493292599781946,5.14477067334363
"ENSG00000248624",1.83922526121292,-6.61519277673175,5.32232646437589,1.34973847012621e-06,0.000493292599781946,5.14477067334363
"ENSG00000249579",1.83922526121292,-6.61519277673175,5.32232646437589,1.34973847012621e-06,0.000493292599781946,5.14477067334363
"ENSG00000223677",1.83922526121292,-6.61519277673175,5.32232646437589,1.34973847012621e-06,0.000493292599781946,5.14477067334363
"ENSG00000145354",1.9667170590501,2.58710043898709,5.31286269209847,1.39955225107744e-06,0.000501091469595155,5.11728251904721
"ENSG00000260902",1.78835604763264,-6.59577712006621,5.30485452830167,1.44311312379432e-06,0.000501091469595155,5.09320812886934
"ENSG00000137204",1.72550780583556,-6.5819548056742,5.3043568858596,1.44586365039147e-06,0.000501091469595155,5.10000764275031
"ENSG00000152078",4.88016312694401,-2.45796339760055,5.29780725007537,1.48254823295587e-06,0.000509413709925572,4.62233553827656
"ENSG00000223351",1.88150096932019,-6.61264950566637,5.26982224430033,1.64987604535599e-06,0.000548167907234722,4.95089085780586
"ENSG00000214919",1.88150096932019,-6.61264950566637,5.26982224430033,1.64987604535599e-06,0.000548167907234722,4.95089085780586
"ENSG00000257084",1.88150096932019,-6.56800267466014,5.26982224430033,1.64987604535599e-06,0.000548167907234722,4.95089085780586
"ENSG00000271264",1.56783328230466,-6.62557257383268,5.25233742241158,1.76370311523049e-06,0.000555977328314824,4.92019359330568
"ENSG00000231335",1.56783328230466,-6.62557257383268,5.25233742241158,1.76370311523049e-06,0.000555977328314824,4.92019359330568
"ENSG00000251372",1.56783328230466,-6.62557257383268,5.25233742241158,1.76370311523049e-06,0.000555977328314824,4.92019359330568
"ENSG00000106278",1.56783328230466,-6.62557257383268,5.25233742241158,1.76370311523049e-06,0.000555977328314824,4.92019359330568
"ENSG00000255015",1.56783328230466,-6.62557257383268,5.25233742241158,1.76370311523049e-06,0.000555977328314824,4.92019359330568
"ENSG00000138160",1.971121682261,1.54490444051077,5.24641622212367,1.80397288293918e-06,0.000555977328314824,4.8960063082316
"ENSG00000227440",1.88150096932019,-6.59032609016326,5.24570907034403,1.80884217436766e-06,0.000555977328314824,4.8669150158679
"ENSG00000150779",2.30528165132892,1.42745759312241,5.24321377708513,1.82612763397202e-06,0.000555977328314824,4.8778858236742
"ENSG00000277290",1.72550780583556,-6.57684818483779,5.2255900451463,1.95291898469447e-06,0.000574769145296764,4.82200381086012
"ENSG00000260811",1.91780595067796,-6.61038943986084,5.22290375634498,1.97298995201616e-06,0.000574769145296764,4.7780467122334
"ENSG00000273606",1.91780595067796,-6.61038943986084,5.22290375634498,1.97298995201616e-06,0.000574769145296764,4.7780467122334
"ENSG00000222320",1.91780595067796,-6.61038943986084,5.22290375634498,1.97298995201616e-06,0.000574769145296764,4.7780467122334
"ENSG00000100526",4.30679538522385,-2.12392041882687,5.22001514669342,1.99479872808153e-06,0.000576941715585135,4.4154565895059
"ENSG00000258603",1.91780595067796,-6.58806602435772,5.2139282013774,2.04153290298344e-06,0.000586240755469573,4.74698397710007
"ENSG00000244332",1.88150096932019,-6.5352994620561,5.20789602978274,2.08890710858681e-06,0.000595590379995794,4.73551222378488
"ENSG00000259564",1.56783328230466,-6.59286936122864,5.18982076010942,2.23742233487435e-06,0.000617730638565363,4.69942003633039
"ENSG00000231622",1.94935956124032,-6.60835577916597,5.18032908783841,2.31951395742714e-06,0.000617730638565363,4.62164644312161
"ENSG00000217585",1.94935956124032,-6.60835577916597,5.18032908783841,2.31951395742714e-06,0.000617730638565363,4.62164644312161
"ENSG00000242065",1.94935956124032,-6.60835577916597,5.18032908783841,2.31951395742714e-06,0.000617730638565363,4.62164644312161
"ENSG00000254237",1.94935956124032,-6.60835577916597,5.18032908783841,2.31951395742714e-06,0.000617730638565363,4.62164644312161
"ENSG00000100565",1.94935956124032,-6.60835577916597,5.18032908783841,2.31951395742714e-06,0.000617730638565363,4.62164644312161
"ENSG00000224911",1.94935956124032,-6.60835577916597,5.18032908783841,2.31951395742714e-06,0.000617730638565363,4.62164644312161
"ENSG00000235295",1.94935956124032,-6.60835577916597,5.18032908783841,2.31951395742714e-06,0.000617730638565363,4.62164644312161
"ENSG00000261963",1.78835604763264,-6.53206497984005,5.18007896011309,2.32171678462537e-06,0.000617730638565363,4.655612253357
"ENSG00000180667",2.49448264133641,3.23783695137947,5.17148699938799,2.39864448966322e-06,0.000630263436427719,4.59654279742031
"ENSG00000123975",3.40384941171809,-0.613399165015958,5.1696565075206,2.41535424500444e-06,0.000630532930893951,4.4725775989778
"ENSG00000005421",1.78835604763264,-6.56598166629973,5.14539321296889,2.64793993858353e-06,0.000678041282872199,4.53466380925515
"ENSG00000253795",1.97683729331989,-6.60650726461276,5.14081758065766,2.6942020335978e-06,0.000685520950346195,4.47708330904767
"ENSG00000257588",1.56783328230466,-6.58603236366286,5.13288623222103,2.77627857254685e-06,0.000701961957066217,4.4992431981657
"ENSG00000133302",1.68483084933029,2.23694962055386,5.12782204640679,2.82996304191357e-06,0.000711063588818809,4.48063577781954
"ENSG00000255279",1.91780595067796,-6.57768622725679,5.11500725519602,2.97040209165907e-06,0.000736609124253144,4.40596375948063
"ENSG00000225371",1.94935956124032,-6.58603236366286,5.11032045255858,3.02345480511997e-06,0.000738041858325432,4.38141229218722
"ENSG00000271709",2.00270348857367,-6.60481297963082,5.10822415327792,3.04748391826331e-06,0.000738041858325432,4.35742888060829
"ENSG00000272043",2.00270348857367,-6.60481297963082,5.10822415327792,3.04748391826331e-06,0.000738041858325432,4.35742888060829
"ENSG00000165949",2.99602678351222,3.97838573349308,5.10173265881855,3.1230881231009e-06,0.000751822686975464,3.70303680437405
"ENSG00000255572",1.88150096932019,-6.56800267466014,5.08759535920271,3.294163930169e-06,0.000781183018340539,4.31984961565424
