"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000254649",6.44567621316058,-5.06157936858648,11.722146170016,1.04510389820028e-17,4.20152669154476e-13,25.4193535782521
"ENSG00000279400",6.4917328094443,-5.06605225713817,9.77513908536879,2.1067337844326e-14,4.23474558008798e-10,19.8386866296151
"ENSG00000130779",1.95529128506746,5.6753425258028,9.28748404197927,1.49969062393864e-13,1.86706787788581e-09,20.561509175427
"ENSG00000134851",2.81800745634954,4.10846645132014,9.23456040231989,1.857686560754e-13,1.86706787788581e-09,20.1027586951405
"ENSG00000103994",2.06723423048802,6.5826846919198,9.08873124582305,3.35405195367531e-13,2.69679193283309e-09,19.754325067692
"ENSG00000068024",2.23566059768603,5.89384569243066,8.92252164698622,6.58760340935063e-13,4.41391387104523e-09,19.1274448425243
"ENSG00000169554",2.10972973537912,6.41220428445416,8.8443378241788,9.05446969961767e-13,5.20011129805757e-09,18.7824989978408
"ENSG00000185219",1.79270113240961,5.63161146111094,8.6232791233597,2.22922787964108e-12,1.12024274021664e-08,17.9381568508544
"ENSG00000196712",1.73584742642346,4.17663593255332,8.56423864352411,2.8367602044435e-12,1.26710449357846e-08,17.4803505290714
"ENSG00000168615",2.81739583710469,3.31368475171968,8.53844754519157,3.15184441962702e-12,1.26710449357846e-08,17.2231215705316
"ENSG00000100485",2.41229604424869,5.64672638937897,8.50215592174123,3.65551904970584e-12,1.3359925166934e-08,17.4583615149394
"ENSG00000118873",1.70143282121319,4.20910353891555,8.25097553326715,1.02113700312504e-11,3.42097914996941e-08,16.3010549115229
"ENSG00000100503",1.93762488680596,6.79071514944175,8.2202008762292,1.15823532054355e-11,3.53633659709826e-08,16.2356641923842
"ENSG00000104447",2.64717580731804,3.35979418386184,8.20521997862178,1.23149874034565e-11,3.53633659709826e-08,15.8283966445483
"ENSG00000145569",2.00844813855117,4.56213824489619,8.17959719506058,1.36772252720439e-11,3.6656787359114e-08,16.0868654328982
"ENSG00000168172",1.7235653727866,4.70951904860588,8.11261662693984,1.79942128239856e-11,4.19864610211339e-08,15.8624029067143
"ENSG00000130449",2.3231847927008,4.52970407528304,8.10193539257623,1.87989726476397e-11,4.19864610211339e-08,15.7617555946653
"ENSG00000100697",2.50387406844158,5.66156572969957,8.05293919530898,2.29776062131799e-11,4.6187286249113e-08,15.6713925228801
"ENSG00000182831",1.64498380761089,6.32429159876096,8.03903041827764,2.43250013807019e-11,4.6567319309856e-08,15.542829443215
"ENSG00000150403",2.25171741975134,4.91917618413331,7.99813298424068,2.87625794942058e-11,4.89186870488997e-08,15.444739495805
"ENSG00000254444",5.43251540574996,-5.00029545250857,7.95061348936555,3.49458000371516e-11,5.41039084512248e-08,13.4159653240435
"ENSG00000138594",1.66597420375041,5.70051751279276,7.95029920176629,3.49908367676197e-11,5.41039084512248e-08,15.258371487494
"ENSG00000124788",1.63800217432753,5.45901536658508,7.90796915328957,4.16190165331389e-11,5.92226174196522e-08,15.0869621699227
"ENSG00000051382",1.75238452788326,4.63264196753211,7.90300821687198,4.24738231828285e-11,5.92226174196522e-08,15.0229745733451
"ENSG00000118263",2.35548832381179,5.84028272680724,7.8981727351285,4.33239103930896e-11,5.92226174196522e-08,15.0454540261346
"ENSG00000085662",-1.91741658448328,5.14113130122034,-7.89332196271276,4.41937844532502e-11,5.92226174196522e-08,14.9820420785147
"ENSG00000198363",2.89263309738501,3.99033391576178,7.87209210853102,4.8211099842707e-11,6.25220205121453e-08,14.9149339587376
"ENSG00000188786",2.07574055764068,5.49847929883681,7.83251549454384,5.67006504806914e-11,6.85805757109106e-08,14.7905563565319
"ENSG00000167085",-1.65368673579944,5.60529778391062,-7.82378591439894,5.87659161784589e-11,6.85805757109106e-08,14.7611045180133
"ENSG00000139132",2.90040943093955,3.97090492162233,7.81773118157979,6.02423761896732e-11,6.85805757109106e-08,14.5793345697474
"ENSG00000084112",2.29067898480391,5.91612194256055,7.8130376176585,6.14123855925771e-11,6.85805757109106e-08,14.7062525833394
"ENSG00000093167",1.61019853808496,5.38179703762598,7.80348626778825,6.38639756312868e-11,6.93907986034862e-08,14.6796022460167
"ENSG00000054523",3.05403839615102,5.32118063764779,7.79082006047777,6.72666440680925e-11,7.11645690743541e-08,14.6301215092404
"ENSG00000151553",2.28124397598989,3.88454789944405,7.7742492835696,7.19934065848958e-11,7.23589369840802e-08,14.4688311428667
"ENSG00000181163",-1.82967015314733,7.16130311428221,-7.77424266140095,7.19953604139896e-11,7.23589369840802e-08,14.4241518443348
"ENSG00000145868",1.69842139697373,5.55206947926964,7.75680110951861,7.73297723281643e-11,7.50250853778618e-08,14.4913990346977
"ENSG00000141367",1.60525501744344,6.96420771245947,7.7535077494563,7.83805180306999e-11,7.50250853778618e-08,14.2950037118518
"ENSG00000135720",1.64455080707654,5.15784776096585,7.73911923922001,8.31411312862726e-11,7.77311572086216e-08,14.4230648169462
"ENSG00000153250",1.95187295305604,6.02749711751951,7.73022873233646,8.62260365118081e-11,7.83667257394986e-08,14.3267977353135
"ENSG00000156052",2.0441205034028,5.87499723692911,7.72067450220015,8.96689066219824e-11,7.83667257394986e-08,14.3222115062306
"ENSG00000115808",1.8938679596848,4.41826196887791,7.70483580289239,9.56817166817039e-11,8.01374244591221e-08,14.206733991647
"ENSG00000134313",2.30157295123869,5.40606805723453,7.69947693993432,9.78060137832031e-11,8.02448442063741e-08,14.2649215628991
"ENSG00000120733",1.56131688230088,6.94665793335696,7.66706245215356,1.11698559892099e-10,8.9810110095643e-08,13.9913956647227
"ENSG00000138463",1.97276980931425,3.63541506930202,7.64926815140555,1.20146361690298e-10,9.28870006283337e-08,13.8695305326146
"ENSG00000196782",2.56301630807244,4.39927428626752,7.63931517882223,1.25146908927183e-10,9.43391038323977e-08,13.7265383471523
