"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000125691",-2.73854653904203,6.15960355593999,-9.69943939788125,2.85357515048492e-14,4.70695267837206e-10,21.7255748977019
"ENSG00000238741",-6.02260755987227,-2.48239044031068,-9.59974089473135,4.25854285103788e-14,4.70695267837206e-10,20.3412364408344
"ENSG00000198918",-2.84720729820675,4.49048308874156,-9.48363215389431,6.79495070551971e-14,4.70695267837206e-10,21.2608455671393
"ENSG00000182774",-2.20266299087228,5.18991471180498,-9.47413154447009,7.06009881612799e-14,4.70695267837206e-10,21.0997041851713
"ENSG00000109475",-3.529735276563,4.05076297189132,-9.46163800167068,7.42466590685718e-14,4.70695267837206e-10,21.1784101213506
"ENSG00000071082",-3.2991154718145,5.2998254304353,-9.42087066126478,8.75111197334593e-14,4.70695267837206e-10,20.8240877304162
"ENSG00000234797",-3.57190316828106,-0.057384658573504,-9.38089562794744,1.02828683252107e-13,4.70695267837206e-10,20.1746761431789
"ENSG00000171863",-3.01837384791641,5.59845838613552,-9.37483756483753,1.05374295073252e-13,4.70695267837206e-10,20.6091156946987
"ENSG00000232112",-2.12855724261826,4.3328640812003,-9.29524475092849,1.45336783468727e-13,5.84282936900977e-10,20.5528814298622
"ENSG00000142676",-1.82675633054708,7.99247363042326,-9.13793058497259,2.74746961130159e-13,9.39606425763998e-10,18.8034156169884
"ENSG00000182899",-1.50675505624983,6.61759824295847,-9.12172678017329,2.93399517247167e-13,9.39606425763998e-10,19.3580014924237
"ENSG00000123349",-1.7974277618937,6.2275453153039,-9.0502462481361,3.92089511934824e-13,1.05085217058692e-09,19.2005531248147
"ENSG00000147604",-2.65949295398781,6.82053062357053,-9.02264139732124,4.38583866209258e-13,1.10199678683404e-09,18.7797220665206
"ENSG00000177954",-2.41523169604911,7.91018882408952,-8.97781372841424,5.26169856625121e-13,1.2442988574143e-09,18.1437804168294
"ENSG00000114942",-1.81826477899555,6.05735648167032,-8.93103058141251,6.36359591527772e-13,1.34646991045261e-09,18.7049362543802
"ENSG00000145425",-3.24330849317146,6.10699130749042,-8.87060038787091,8.13666084566292e-13,1.56753980299197e-09,18.4133092500888
"ENSG00000138326",-2.90742565907863,6.05355183650365,-8.86904758642267,8.18823338710296e-13,1.56753980299197e-09,18.4125162261968
"ENSG00000131469",-1.82656279033188,7.07832000833157,-8.77536270890715,1.19907001589175e-12,2.19113694449454e-09,17.8115781447617
"ENSG00000237550",-3.95080848278845,1.70613605540079,-8.63082735857717,2.16161011104179e-12,3.77830650800444e-09,17.8954901721827
"ENSG00000122026",-1.95134425468444,7.25354051817136,-8.35862149510295,6.57335459468741e-12,1.05704800566249e-08,15.8921402826334
"ENSG00000134419",-2.07131633473242,4.3144295507598,-8.24825387942577,1.03257671329207e-11,1.59660188568338e-08,16.3585694612974
"ENSG00000164919",-2.0319109490822,3.04033033728611,-8.10753778845764,1.83724763868431e-11,2.6378939132281e-08,15.8871483722272
"ENSG00000176731",-1.59094165761596,2.57074149369048,-8.00455003947917,2.80161528038498e-11,3.81904071778643e-08,15.4722759083781
"ENSG00000161970",-2.08333178102975,2.44520289445864,-8.00038072984653,2.84988860090525e-11,3.81904071778643e-08,15.4617185943053
"ENSG00000133112",-2.05056478346266,9.45270406183733,-7.97527230917954,3.15871467722891e-11,4.09634346625667e-08,13.4105853113769
"ENSG00000196683",-1.75602027544311,4.23301525798939,-7.94696842075739,3.54717136454925e-11,4.45635572492528e-08,15.1045213628152
"ENSG00000263266",-3.86244605087045,0.0391801762160185,-7.93860537484631,3.67084582500415e-11,4.47198011687324e-08,14.8454507597439
"ENSG00000213741",-1.7310200501146,6.44430579418275,-7.83481346278516,5.61691646241752e-11,6.64150810653263e-08,14.1471112416813
"ENSG00000169567",-1.5753839449466,4.54064949899785,-7.80625405859176,6.31436530440510e-11,7.25286039907697e-08,14.5386978662786
"ENSG00000229117",-1.97000843115293,6.97921447997152,-7.75885065784392,7.66829849329281e-11,8.56335933409327e-08,13.6033813087032
"ENSG00000244716",-3.33351128217903,-1.7885876956938,-7.72188824533921,8.92240267273772e-11,9.56434205277605e-08,13.4464656813928
"ENSG00000253738",-1.95981285306934,1.54827878299116,-7.71868020796184,9.04047057373986e-11,9.56434205277605e-08,14.2258825807495
"ENSG00000214485",-3.60640817633271,-1.83414436411614,-7.68386624753772,1.04266688682552e-10,1.04793235460399e-07,13.3345855461352
"ENSG00000234741",-1.80088627610228,4.12339852827294,-7.66619008382343,1.12098524860659e-10,1.0991670479142e-07,14.0385286724766
"ENSG00000189043",-2.07429014839766,3.38281485473082,-7.55642959247687,1.75741781447418e-10,1.68218359470217e-07,13.6872675928088
"ENSG00000243592",-4.2532060060088,-5.57796480465533,-7.40599717997359,3.25342119503827e-10,2.84334867136801e-07,11.7081375230951
"ENSG00000269893",-1.96698672303808,2.01729149261286,-7.39320241609351,3.42828656870323e-10,2.93242503478739e-07,13.0511252063168
"ENSG00000163682",-2.86547465616517,6.0970975367775,-7.38459585182458,3.55115899479813e-10,2.97424362310155e-07,12.3953071528088
"ENSG00000156467",-2.40679839093813,4.4005972352597,-7.37807208298496,3.64721638177239e-10,2.99235495877579e-07,12.7869571729829
"ENSG00000137970",-2.85745236808706,1.52555363906927,-7.36522204372352,3.84407378748736e-10,3.09078908809134e-07,12.9287848748588
"ENSG00000137876",-2.85325666540294,2.3748283742442,-7.35139756002594,4.06771520642277e-10,3.20647621036486e-07,12.8857917631635
"ENSG00000240509",-4.73169076741022,-4.40660174412321,-7.33057224947301,4.42935846974434e-10,3.42440517693581e-07,11.7891187051848
"ENSG00000101132",-5.24399246456629,-2.3522323455664,-7.30921696069713,4.83354280733637e-10,3.66637901774598e-07,12.0449945174342
"ENSG00000109686",-4.73380675274757,-3.07030825790171,-7.29321224724191,5.1604013085412e-10,3.77197188010861e-07,11.8587238649764
"ENSG00000234287",-2.7875368278243,-0.531215036167071,-7.28420805776272,5.35388976746209e-10,3.82979104435239e-07,12.2650279636965
"ENSG00000227008",-4.0661516896901,-3.82485147400497,-7.28075348621728,5.4300305837542e-10,3.82979104435239e-07,11.454725986693
"ENSG00000214389",-3.19336794174221,-0.160120669873473,-7.14089530194114,9.6140213303066e-10,6.43760710354147e-07,11.8515898342467
"ENSG00000236439",-2.88098730330715,-0.0464220881027942,-7.11648960028824,1.0620841307607e-09,6.85291999594642e-07,11.7675869057118
"ENSG00000236058",-4.55533291187164,-4.13760917868241,-7.11148581595132,1.08399031748669e-09,6.85291999594642e-07,10.9408521885252
"ENSG00000205871",-3.83225283979439,-1.99756570088616,-7.09658545001421,1.15192657354118e-09,7.12457724761578e-07,11.2457043138554
"ENSG00000227081",-2.50813931176719,2.39283775174992,-7.049787867892,1.39412986457926e-09,8.49194072966901e-07,11.6894539056692
"ENSG00000127184",-1.99089900825746,3.89034906560006,-7.02310928278213,1.55427100610539e-09,9.32608999812671e-07,11.4613892245222
"ENSG00000274422",-6.3119208744968,-2.38829446917283,-7.01585551488019,1.60089708484824e-09,9.46459773603955e-07,11.1528275185324
"ENSG00000188243",-3.25145541350915,1.86425225400229,-7.0031207286356,1.68615019221918e-09,9.82414638081097e-07,11.5169975991112
"ENSG00000232346",-3.08155758451072,-1.60112211419703,-6.91982561670862,2.36683577392958e-09,1.35930759690738e-06,10.6392182935983
"ENSG00000114209",-1.98250775747468,3.22283210562601,-6.85135695371575,3.12660057086436e-09,1.73755445891638e-06,10.908060234454
"ENSG00000213326",-3.90345349321608,-3.18229493678407,-6.84912361477113,3.15510361427033e-09,1.73755445891638e-06,9.96555680827951
"ENSG00000234506",-3.30900874885444,1.00538877675517,-6.83939453185318,3.28231961558928e-09,1.75941084247893e-06,10.8192665922055
"ENSG00000156411",-1.51171742155328,4.21049900939506,-6.8280048401691,3.43775056518721e-09,1.79486296391762e-06,10.7008730335495
"ENSG00000124575",-5.36438468579275,-3.57880954152926,-6.7859041256381,4.07858869673638e-09,2.02674298491142e-06,9.99903983843867
"ENSG00000147669",-3.15921753758207,0.850504366179495,-6.69146243146802,5.9814812425883e-09,2.82902951664159e-06,10.2471743584312
"ENSG00000110852",-2.11266716561991,4.05174423740558,-6.63669082654205,7.46618470871513e-09,3.49018090302053e-06,9.93505318526236
"ENSG00000244398",-3.07700063898006,1.33852092702397,-6.58803612445107,9.08934835321235e-09,4.15238616472549e-06,9.90586975893283
"ENSG00000113240",-1.59556315567672,4.07669611805588,-6.56130639924846,1.01257080839344e-08,4.47333754275088e-06,9.71341169863766
"ENSG00000226221",-2.89626994996473,-1.33214459395905,-6.54658990051363,1.07455741058132e-08,4.64509215270864e-06,9.39217296125086
"ENSG00000013441",-1.50600828094201,5.82487999772809,-6.52468784957916,1.17385723246115e-08,5.02036260206415e-06,9.18765193325966
"ENSG00000242299",-1.63678254186495,2.70370039644291,-6.49727495949076,1.31107805592811e-08,5.54820631625495e-06,9.51250436537189
"ENSG00000259671",-4.78734472518242,-1.88449691057621,-6.4375032884802,1.66799723967505e-08,6.77341666963802e-06,8.80709790581835
"ENSG00000226084",-3.39032104825177,-2.31366924122973,-6.43231622785441,1.70318423164399e-08,6.84714124805517e-06,8.75112952437371
"ENSG00000225912",-4.61054699423155,-4.1743692220489,-6.40679680826694,1.88732541381593e-08,7.51230260259682e-06,8.53745343243681
"ENSG00000128609",-1.74857876353659,2.0766437601512,-6.3793961872847,2.10708494539376e-08,8.06752656902093e-06,9.10240535959889
"ENSG00000180211",-3.8034974610911,-3.59274805040806,-6.37451249638567,2.14883869805696e-08,8.14977484332888e-06,8.31387701238642
"ENSG00000219023",-3.63011354270163,-1.07641577985185,-6.36241086044537,2.2558757222789e-08,8.475767830566e-06,8.67308039858816
"ENSG00000126860",-2.33829517683517,3.24948416246225,-6.31313148657656,2.74918043747355e-08,1.02335696247511e-05,8.77727679944289
"ENSG00000234268",-3.19368039512905,-1.29803930580716,-6.30482238938171,2.84231436244666e-08,1.03878838180982e-05,8.41748000842776
"ENSG00000164414",-1.64117005581904,1.84859924380849,-6.29249764264749,2.98625265759179e-08,1.08156152559014e-05,8.7611546611422
"ENSG00000235174",-3.10596161944559,0.2881177426885,-6.27958274878504,3.14484506766595e-08,1.12883090544916e-05,8.66957400613799
