"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000163710",10.0603416827753,-2.82565087805375,17.6573722871064,1.5274077439963e-26,6.14048461241395e-22,46.3146736628845
"ENSG00000254649",7.06392772308467,-5.06157936858648,16.0168993089348,2.72729456500446e-24,5.48213480511547e-20,39.5341486073687
"ENSG00000123119",8.60724697722394,-4.29659444838221,15.2883104815888,3.02828823154188e-23,4.05810811614823e-19,39.6997342362416
"ENSG00000112333",7.49158956826507,-4.45853042222142,12.8121995798288,1.78684420689676e-19,1.79586777014159e-15,31.1386775819159
"ENSG00000254420",7.51613873698118,-3.71305294704028,11.8859613032896,5.61752199405156e-18,4.51671238409721e-14,28.3847671367827
"ENSG00000272396",7.94958873584351,-4.35497347560999,11.7134119786909,1.08037369645771e-17,7.23886389083216e-14,28.0325144324086
"ENSG00000134851",2.86063128991382,4.10846645132014,11.6714148971422,1.26747546772883e-17,7.27929267909063e-14,29.540808510393
"ENSG00000168615",3.44737912049191,3.31368475171968,11.4464738104145,2.99238939336896e-17,1.50375047990274e-13,28.1719832567178
"ENSG00000130779",1.86282493334294,5.6753425258028,11.3879071856096,3.74609327431722e-17,1.6733382423789e-13,28.7160139397476
"ENSG00000068024",2.25468145236,5.89384569243066,11.1520002281421,9.29602868261379e-17,3.7371894509844e-13,27.8187164718698
"ENSG00000279400",6.61303667499653,-5.06605225713817,11.1091830136812,1.09707181160565e-16,3.80322838165704e-13,25.0294781559472
"ENSG00000091436",2.83935757665608,3.51339304003573,11.0605818107508,1.32433896256016e-16,3.80545178265613e-13,26.8554902640781
"ENSG00000095203",7.85856125901939,-4.65703983639437,11.0604110727747,1.32521578421934e-16,3.80545178265613e-13,25.9198400650287
"ENSG00000169554",1.92436818581043,6.41220428445416,10.8631122965601,2.85355445730758e-16,7.64790641951195e-13,26.6320753113926
"ENSG00000150403",2.6631265314673,4.91917618413331,10.8090580982508,3.52346382501532e-16,8.85314329332911e-13,26.4505831277994
"ENSG00000124788",1.92563761688816,5.45901536658508,10.773441232297,4.04939652627559e-16,9.57610818525478e-13,26.372983781941
"ENSG00000103994",1.73115551631466,6.5826846919198,10.6176720555818,7.45296479068318e-16,1.66457828063914e-12,25.6482134730669
"ENSG00000100485",2.29412641577862,5.64672638937897,10.5194924475219,1.09619102049147e-15,2.31942481083148e-12,25.3902505233251
"ENSG00000093167",1.81411470326224,5.38179703762598,10.4671771525556,1.34693309828953e-15,2.70747022087178e-12,25.1897462348475
"ENSG00000198363",3.64442520122825,3.99033391576178,10.4318396168889,1.54825408853187e-15,2.92624054334092e-12,24.867924706581
"ENSG00000188786",2.37155844478614,5.49847929883681,10.4020948494826,1.74103069726211e-15,3.0431702648405e-12,24.9401605996171
"ENSG00000111817",2.4822850478562,4.62536068293795,10.3599800631464,2.05603842274584e-15,3.44403569463451e-12,24.6945473179925
"ENSG00000051382",1.86154668278418,4.63264196753211,10.2559637166005,3.10271328908447e-15,4.98941118591095e-12,24.3030429634587
"ENSG00000170832",1.76346781736524,6.27093576548726,10.1062304755196,5.62080848320447e-15,8.69106702468408e-12,23.7189766967493
"ENSG00000231123",6.81564280312505,-3.68054047818865,10.0593740640078,6.77240203843892e-15,1.00838558055304e-11,21.247336258499
"ENSG00000119318",1.72080235108116,6.47269607015654,10.0298630462185,7.61672294675188e-15,1.05588791691489e-11,23.423705790656
"ENSG00000153250",2.08155781520332,6.02749711751951,9.95841049690865,1.01264061134657e-14,1.35320196711781e-11,23.1627901897842
"ENSG00000183578",7.4805167772365,-4.44564639327959,9.95089500119397,1.0434620412082e-14,1.35320196711781e-11,21.4871368300675
"ENSG00000185219",1.57879315870762,5.63161146111094,9.94082117418385,1.08626049428301e-14,1.36468263722392e-11,23.1322102649221
"ENSG00000182831",1.62815661604475,6.32429159876096,9.92164140664658,1.17268745921542e-14,1.41503303959669e-11,22.9755669443475
"ENSG00000138594",1.65158786821291,5.70051751279276,9.916557403768,1.19673457405819e-14,1.41503303959669e-11,23.0371491580112
"ENSG00000138600",1.50201857374584,5.09759254873975,9.89758545940211,1.29093275616302e-14,1.48174914965332e-11,22.9718974315886
"ENSG00000054523",3.26745860636547,5.32118063764779,9.89071150864478,1.32687352339485e-14,1.48174914965332e-11,22.9476276398275
"ENSG00000084112",2.3743754432324,5.91612194256055,9.86289896643285,1.48286346065839e-14,1.61119126609159e-11,22.8277621560211
"ENSG00000115310",1.92132124769578,7.18723323157614,9.8258802489622,1.71947845666131e-14,1.81911770828153e-11,22.4543312505765
"ENSG00000151553",2.30790222772729,3.88454789944405,9.77843776434456,2.079083977458e-14,2.09837429937706e-11,22.4242943028002
"ENSG00000104447",2.35381964136685,3.35979418386184,9.77738951062332,2.08783075406901e-14,2.09837429937706e-11,22.278067535823
"ENSG00000068305",2.41642338841482,5.20686829065198,9.74910132066818,2.33836933333365e-14,2.29285668143121e-11,22.3922680636315
"ENSG00000168297",2.22868096305662,5.57135500330421,9.72958025772174,2.52868298503712e-14,2.42043127058243e-11,22.3135651217441
"ENSG00000113742",2.55137137207598,4.68144550963716,9.659287614096,3.3525142537782e-14,3.06313131887252e-11,22.0356206784547
"ENSG00000118263",2.10608665795481,5.84028272680724,9.54029982567617,5.4086641266266e-14,4.83198033819206e-11,21.5178570571973
"ENSG00000100580",2.8797447514946,4.17617829582112,9.52243104770848,5.81200498433406e-14,4.95996311991391e-11,21.4230145633299
"ENSG00000116793",2.63907147818838,3.67737974626159,9.51777205154409,5.9220493944547e-14,4.95996311991391e-11,21.3337022781582
"ENSG00000075420",2.65925980356782,5.25568526216567,9.49444674763345,6.50528359392732e-14,5.33725328659318e-11,21.3862274096928
"ENSG00000139132",2.59987950626261,3.97090492162233,9.48798333519072,6.67687850367307e-14,5.3684773920933e-11,21.3106861016467
"ENSG00000145868",1.61482366992758,5.55206947926964,9.40205348545417,9.44129396040422e-14,7.29920961146482e-11,21.007536420197
"ENSG00000109466",3.64011494912699,4.53770087110655,9.38628226108215,1.00617130937686e-13,7.52994740617873e-11,20.9381600956548
"ENSG00000197063",2.4018644284139,5.11238903254679,9.38498944907858,1.01143515231494e-13,7.52994740617873e-11,20.955101958495
"ENSG00000132205",2.46293922473637,6.99358103576409,9.37407586192029,1.05698812472815e-13,7.72600665278564e-11,20.7062098747595
"ENSG00000178904",2.59718434012626,3.60425925955929,9.35764837588711,1.12947182466052e-13,7.96710982491565e-11,20.7347847684289
"ENSG00000163605",2.15426415319289,3.98269513033866,9.35579395525377,1.13796165077369e-13,7.96710982491565e-11,20.7956521991796
"ENSG00000226479",1.79495636868277,3.79875818673516,9.33118718703877,1.25687580819727e-13,8.56422393917737e-11,20.5738755489306
"ENSG00000230291",-5.79802933488253,-1.64709106937343,-9.32020174433368,1.31391990826568e-13,8.80266141236895e-11,17.5131138721937
"ENSG00000152804",1.77897043170987,5.29120179887412,9.31614053623746,1.33566077845507e-13,8.80266141236895e-11,20.687318466477
"ENSG00000111885",2.66998811745671,4.87628607031532,9.30671098937595,1.38754365258857e-13,8.9971016002203e-11,20.6438940903329
"ENSG00000100503",1.55491482343625,6.79071514944175,9.2864678119155,1.50586518403433e-13,9.60933208389652e-11,20.3143469148099
"ENSG00000023909",2.31192217331421,3.21471490505324,9.25203288587912,1.73088953793906e-13,1.08726908131603e-10,20.0959594126345
"ENSG00000130449",1.94537943655361,4.52970407528304,9.24608731671639,1.77302982577495e-13,1.09660530855084e-10,20.4018999462057
"ENSG00000180776",2.70019294433322,5.05436232567398,9.22438876849295,1.93575521129507e-13,1.17910956067401e-10,20.3213845168244
"ENSG00000138463",1.8951444463321,3.63541506930202,9.19653839997591,2.16678901857169e-13,1.27373596704353e-10,20.0833807118209
"ENSG00000135048",1.85691210704437,5.92446088213889,9.19434110350314,2.18615446311137e-13,1.27373596704353e-10,20.1283484164317
"ENSG00000102218",2.61834962514558,3.92481307215127,9.16108183211462,2.50142963305817e-13,1.41637287476344e-10,19.9957116053562
"ENSG00000138378",-1.9516259674627,5.221545772635,-9.15580103504166,2.55552893972332e-13,1.42690797826051e-10,20.0116725304929
"ENSG00000120868",1.88983598423257,5.80304325961418,9.14373842735896,2.68355239761661e-13,1.47786539026004e-10,19.9476350450968
"ENSG00000107968",1.79787046662337,4.38499078331894,9.13934120902977,2.73180607129703e-13,1.4841090226795e-10,19.962012733322
"ENSG00000145569",1.67623973889355,4.56213824489619,9.1306028801233,2.83029876757478e-13,1.49715356650054e-10,19.9491390800029
"ENSG00000260916",1.97819646480713,3.69834549092127,9.11004957870719,3.07624836436841e-13,1.58552995826075e-10,19.7659222520886
"ENSG00000275210",3.7443280278999,2.84811594474439,9.10273757463781,3.16882876315593e-13,1.58786331761709e-10,19.3645106380639
"ENSG00000198929",6.54449741146975,-3.83538712763084,9.10265506249167,3.16988928813914e-13,1.58786331761709e-10,18.2400152611798
"ENSG00000162702",2.16878350541024,4.17605836463084,9.09923503978229,3.21416155393982e-13,1.58786331761709e-10,19.8140477623147
"ENSG00000205871",-5.76764094246483,-1.99756570088616,-9.09436624498632,3.27826116517136e-13,1.58786331761709e-10,16.7844904336745
"ENSG00000136048",2.26233084536744,4.03226674867402,9.0236628149407,4.36768726754993e-13,2.02680012947132e-10,19.4438159281005
"ENSG00000078124",2.22381225573472,4.93097446878713,9.02337434827561,4.37280589389292e-13,2.02680012947132e-10,19.5285081296295
"ENSG00000096968",2.24314304271792,4.64458388595827,9.01188163675809,4.58170918718564e-13,2.09311219026406e-10,19.482571016058
"ENSG00000129460",-1.9463872531319,3.59738916561765,-8.99223340553895,4.96232176216843e-13,2.21661399425217e-10,19.0560547234449
"ENSG00000142166",1.80418830504078,6.71969132215328,8.97721946458697,5.27441810737118e-13,2.33013359068721e-10,19.1445382915174
